Daily Rainfall Total (mm),Datetime,category
796.6999999999999,2014-05-18,3
402.90000000000003,2014-05-19,2
127.9,2014-05-20,1
180.6,2014-05-21,1
3.8000000000000007,2014-05-22,0
250.6,2014-05-23,2
0.2,2014-05-24,0
3.5,2014-05-25,0
104.5,2014-05-26,1
21.9,2014-05-27,0
97.2,2014-05-28,1
64.7,2014-05-29,1
310.50000000000006,2014-05-30,2
14.099999999999998,2014-05-31,0
314.20000000000005,2014-06-01,2
40.79999999999999,2014-06-02,0
10.0,2014-06-03,0
200.6,2014-06-04,2
276.6,2014-06-05,2
435.1,2014-06-06,2
32.0,2014-06-07,0
6.1,2014-06-08,0
1.1,2014-06-09,0
39.099999999999994,2014-06-10,0
0.8,2014-06-11,0
199.10000000000002,2014-06-12,1
0.0,2014-06-13,0
230.4,2014-06-14,2
89.2,2014-06-15,1
0.0,2014-06-16,0
0.0,2014-06-17,0
177.50000000000003,2014-06-18,1
107.40000000000003,2014-06-19,1
0.0,2014-06-20,0
0.0,2014-06-21,0
77.2,2014-06-22,1
0.0,2014-06-23,0
140.0,2014-06-24,1
60.699999999999996,2014-06-25,1
1.3,2014-06-26,0
5.7,2014-06-27,0
0.0,2014-06-28,0
67.60000000000001,2014-06-29,1
383.49999999999994,2014-06-30,2
0.0,2014-07-01,0
0.0,2014-07-02,0
38.0,2014-07-03,0
116.30000000000001,2014-07-04,1
504.69999999999993,2014-07-05,3
58.7,2014-07-06,1
415.90000000000003,2014-07-07,2
439.59999999999997,2014-07-08,2
586.1000000000001,2014-07-09,3
50.8,2014-07-10,1
192.6,2014-07-11,1
4.6000000000000005,2014-07-12,0
0.0,2014-07-13,0
0.0,2014-07-14,0
0.0,2014-07-15,0
0.4,2014-07-16,0
169.69999999999996,2014-07-17,1
0.0,2014-07-18,0
50.7,2014-07-19,1
0.0,2014-07-20,0
0.0,2014-07-21,0
2.2,2014-07-22,0
4.5,2014-07-23,0
0.0,2014-07-24,0
0.0,2014-07-25,0
0.0,2014-07-26,0
434.7,2014-07-27,2
0.5,2014-07-28,0
786.5,2014-07-29,3
284.29999999999995,2014-07-30,2
31.4,2014-07-31,0
18.1,2014-08-01,0
241.0,2014-08-02,2
41.6,2014-08-03,0
2.0,2014-08-04,0
201.40000000000003,2014-08-05,2
217.29999999999998,2014-08-06,2
60.19999999999999,2014-08-07,1
6.4,2014-08-08,0
0.7,2014-08-09,0
132.3,2014-08-10,1
49.4,2014-08-11,0
132.0,2014-08-12,1
23.0,2014-08-13,0
214.8,2014-08-14,2
559.3,2014-08-15,3
0.2,2014-08-16,0
0.0,2014-08-17,0
12.999999999999998,2014-08-18,0
236.79999999999998,2014-08-19,2
38.900000000000006,2014-08-20,0
277.1,2014-08-21,2
15.9,2014-08-22,0
81.69999999999999,2014-08-23,1
19.499999999999996,2014-08-24,0
212.5,2014-08-25,2
191.49999999999997,2014-08-26,1
380.70000000000005,2014-08-27,2
412.6,2014-08-28,2
286.79999999999995,2014-08-29,2
35.5,2014-08-30,0
149.10000000000002,2014-08-31,1
0.0,2014-09-01,0
0.0,2014-09-02,0
870.5999999999999,2014-09-03,3
0.8,2014-09-04,0
33.5,2014-09-05,0
